msg_count,avg_time_gap,msg_size,connections,failed_attempts,ip_changes
19,113.24465423962667,159,2,0,1
12,74.96623705741965,66,1,1,0
7,89.634177151305,154,1,0,1
9,78.16696430927773,372,1,1,0
4,116.16232107761441,373,1,2,0
6,37.93263175272072,361,2,1,0
12,43.86890945360733,196,3,0,1
5,73.28736793448019,119,3,1,1
7,74.79393160511142,233,1,0,0
21,42.15473182949261,463,1,2,1
14,91.83452563742846,334,1,2,0
24,32.8261263195585,64,1,0,1
16,14.287774182273875,465,2,0,0
18,99.23679057491012,485,3,0,1
19,40.939248076577286,361,2,2,1
21,113.13901608404582,225,2,0,1
19,82.08857318151948,220,1,2,1
14,29.63516194966015,500,1,2,1
9,8.807565032320976,398,3,0,0
8,46.754330247016824,361,3,1,0
10,73.50461049748796,209,1,2,0
11,18.64189868080261,485,1,2,0
8,68.53053520397214,279,3,0,0
14,70.48156388068418,75,1,2,1
17,113.35485001044498,196,1,1,0
3,71.48529402998098,172,3,1,0
11,86.5011604130962,329,1,0,0
16,66.52975317299448,375,1,0,1
7,41.565043789433226,74,3,1,1
19,21.068321570911312,61,3,2,1
4,25.964238882791033,169,3,0,0
17,66.19088402954199,304,1,2,0
21,35.93412522956345,296,1,0,1
15,60.04749043714773,329,2,1,0
15,95.37624204050307,469,1,1,0
16,112.95129998872686,135,2,2,0
20,27.612837684004404,433,3,1,0
14,56.15971126418801,192,1,1,0
3,119.39514917446216,491,1,0,0
5,54.36396231047682,65,1,2,0
23,56.7722299438296,156,1,0,0
7,86.25823143450278,428,2,0,0
22,48.074969583173385,429,3,2,0
19,48.35845428345736,82,3,0,0
5,104.75791527143288,272,1,0,0
6,57.64049976164069,425,2,1,1
22,67.04905003364662,32,2,2,0
1,92.22194879556821,392,2,0,1
12,105.35642598718023,323,1,1,1
16,85.7845305778356,364,3,1,1
18,60.87292559426276,196,2,0,0
18,19.129294139287715,317,1,0,1
12,10.962543134365163,315,3,2,0
19,103.03753679125903,321,2,0,1
23,51.27303702492636,476,2,0,0
22,31.65998419846539,233,2,1,0
2,65.83833335393348,163,3,1,1
2,59.407425930962724,489,1,0,0
23,58.30554761306718,305,2,1,0
18,93.60736747494032,355,3,1,0
3,5.169968026701374,181,1,0,1
1,83.5406773327874,299,1,1,1
21,106.90360538563374,320,1,1,1
4,57.09108361621449,396,3,1,1
17,69.45059689498983,499,3,0,0
17,52.33926680633378,467,3,2,0
19,72.31613633530436,177,2,2,1
4,118.99394311721828,483,2,0,1
2,44.77733552499998,140,2,2,1
20,54.747003087138935,81,2,0,1
10,72.55062816569234,363,3,2,1
4,57.067398310880534,70,2,2,1
10,107.32340962702726,106,3,0,0
4,40.50265059652462,297,3,2,1
20,33.348243295636806,196,2,1,0
23,112.33189093019836,314,3,0,1
